"Count","DateTime","T2 Ez","T2 CheckEz","T2 Ex","T2 Prime","T2 DAX A"
"0","03FEB25 11:42:32 ",100,100,87,125,140
"1","03FEB25 11:42:33 ",100,100,87,125,140
"2","03FEB25 11:42:34 ",100,100,87,125,140
"3","03FEB25 11:42:35 ",100,100,87,125,140
"4","03FEB25 11:42:36 ",100,100,87,125,140
"5","03FEB25 11:42:37 ",100,100,87,125,140
"6","03FEB25 11:42:38 ",100,100,87,125,140
"7","03FEB25 11:42:39 ",100,100,87,125,140
"8","03FEB25 11:42:40 ",100,100,87,125,140
"9","03FEB25 11:42:41 ",100,100,87,125,140
"10","03FEB25 11:42:42 ",100,100,87,125,140
"11","03FEB25 11:42:43 ",100,100,87,125,140
"12","03FEB25 11:42:44 ",100,100,87,125,140
"13","03FEB25 11:42:45 ",100,100,87,125,140
"14","03FEB25 11:42:46 ",100,99,88,125,140
"15","03FEB25 11:42:47 ",99,99,88,125,140
"16","03FEB25 11:42:48 ",98,97,88,125,140
"17","03FEB25 11:42:49 ",98,97,88,125,140
"18","03FEB25 11:42:50 ",97,96,88,125,140
"19","03FEB25 11:42:51 ",96,95,88,125,140
"20","03FEB25 11:42:52 ",94,93,88,125,140
"21","03FEB25 11:42:53 ",93,93,88,125,140
"22","03FEB25 11:42:54 ",93,92,88,125,140
"23","03FEB25 11:42:55 ",92,91,88,125,140
"24","03FEB25 11:42:56 ",91,91,88,125,140
"25","03FEB25 11:42:57 ",91,90,88,125,140
"26","03FEB25 11:42:58 ",89,88,88,125,140
"27","03FEB25 11:42:59 ",89,88,88,125,140
"28","03FEB25 11:43:00 ",88,87,88,125,140
"29","03FEB25 11:43:01 ",87,87,88,125,140
"30","03FEB25 11:43:02 ",87,86,88,125,140
"31","03FEB25 11:43:03 ",86,86,88,125,140
"32","03FEB25 11:43:04 ",85,85,88,125,140
"33","03FEB25 11:43:05 ",84,83,88,125,140
"34","03FEB25 11:43:06 ",83,82,88,125,140
"35","03FEB25 11:43:07 ",82,82,88,125,140
"36","03FEB25 11:43:08 ",82,81,88,125,140
"37","03FEB25 11:43:09 ",81,80,89,125,140
"38","03FEB25 11:43:10 ",80,80,89,125,140
"39","03FEB25 11:43:11 ",80,79,89,125,140
"40","03FEB25 11:43:12 ",79,78,89,125,140
"41","03FEB25 11:43:13 ",78,78,89,125,140
"42","03FEB25 11:43:14 ",77,77,89,125,140
"43","03FEB25 11:43:15 ",77,77,89,125,140
"44","03FEB25 11:43:16 ",77,77,89,125,140
"45","03FEB25 11:43:17 ",76,76,89,125,140
"46","03FEB25 11:43:18 ",76,75,89,125,140
"47","03FEB25 11:43:19 ",75,75,89,125,140
"48","03FEB25 11:43:20 ",74,74,89,125,140
"49","03FEB25 11:43:21 ",74,73,89,125,140
"50","03FEB25 11:43:22 ",73,73,89,125,140
"51","03FEB25 11:43:23 ",73,73,89,125,140
"52","03FEB25 11:43:24 ",72,72,89,125,140
