"Count","DateTime","T1 Ez","T1 CheckEz","T1 Ex","T1 Prime","T1 DAX A","T2 Ez","T2 CheckEz","T2 Ex","T2 Prime","T2 DAX A","T3 Ez","T3 CheckEz","T3 Ex","T3 Prime","T3 DAX A"
"0","20JAN25 17:45:00 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"1","20JAN25 17:45:01 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"2","20JAN25 17:45:02 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"3","20JAN25 17:45:03 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"4","20JAN25 17:45:04 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"5","20JAN25 17:45:05 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"6","20JAN25 17:45:06 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"7","20JAN25 17:45:07 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"8","20JAN25 17:45:08 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"9","20JAN25 17:45:09 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"10","20JAN25 17:45:10 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"11","20JAN25 17:45:12 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"12","20JAN25 17:45:13 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"13","20JAN25 17:45:14 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"14","20JAN25 17:45:15 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"15","20JAN25 17:45:16 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"16","20JAN25 17:45:17 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"17","20JAN25 17:45:18 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"18","20JAN25 17:45:19 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"19","20JAN25 17:45:20 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"20","20JAN25 17:45:21 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"21","20JAN25 17:45:22 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"22","20JAN25 17:45:23 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"23","20JAN25 17:45:24 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"24","20JAN25 17:45:25 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"25","20JAN25 17:45:26 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"26","20JAN25 17:45:27 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"27","20JAN25 17:45:28 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"28","20JAN25 17:45:29 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"29","20JAN25 17:45:30 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"30","20JAN25 17:45:31 ",0,0,100,120,135,97,96,90,155,170,0,0,100,180,195
"31","20JAN25 17:45:32 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"32","20JAN25 17:45:33 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"33","20JAN25 17:45:34 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"34","20JAN25 17:45:35 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"35","20JAN25 17:45:36 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"36","20JAN25 17:45:37 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"37","20JAN25 17:45:38 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"38","20JAN25 17:45:39 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"39","20JAN25 17:45:40 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"40","20JAN25 17:45:41 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"41","20JAN25 17:45:42 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"42","20JAN25 17:45:43 ",0,0,100,120,135,97,97,90,155,170,0,0,100,180,195
"43","20JAN25 17:45:44 ",0,0,100,120,135,96,95,90,155,170,0,0,100,180,195
"44","20JAN25 17:45:45 ",0,0,100,120,135,95,93,90,155,170,0,0,100,180,195
"45","20JAN25 17:45:46 ",0,0,100,120,135,93,91,90,155,170,0,0,100,180,195
"46","20JAN25 17:45:47 ",0,0,100,120,135,91,89,90,155,165,0,0,100,180,195
"47","20JAN25 17:45:48 ",0,0,100,120,135,89,88,90,150,165,0,0,100,180,195
"48","20JAN25 17:45:49 ",0,0,100,120,135,85,83,90,150,165,0,0,100,180,195
"49","20JAN25 17:45:50 ",0,0,100,120,135,82,81,90,150,165,0,0,100,180,195
"50","20JAN25 17:45:51 ",0,0,100,120,135,80,78,90,150,165,0,0,100,180,195
"51","20JAN25 17:45:52 ",0,0,100,120,135,78,77,91,150,165,0,0,100,180,195
