"Count","DateTime","T1 Ez","T1 CheckEz","T1 Ex","T1 Prime","T1 DAX A"
"0","28JAN25 07:36:43 ",100,100,53,125,140
"1","28JAN25 07:36:44 ",100,100,53,125,140
"2","28JAN25 07:36:45 ",100,100,53,125,140
"3","28JAN25 07:36:46 ",100,100,53,125,140
"4","28JAN25 07:36:47 ",100,100,53,125,140
"5","28JAN25 07:36:48 ",100,100,53,125,140
"6","28JAN25 07:36:49 ",100,100,53,125,140
"7","28JAN25 07:36:50 ",100,100,53,125,140
"8","28JAN25 07:36:51 ",100,100,53,125,140
"9","28JAN25 07:36:52 ",100,100,53,125,140
"10","28JAN25 07:36:53 ",100,100,53,125,140
"11","28JAN25 07:36:54 ",100,100,53,125,140
"12","28JAN25 07:36:55 ",100,100,53,125,140
"13","28JAN25 07:36:56 ",100,100,53,125,140
"14","28JAN25 07:36:57 ",100,100,53,125,140
"15","28JAN25 07:36:58 ",100,100,53,125,140
"16","28JAN25 07:36:59 ",100,100,53,125,140
"17","28JAN25 07:37:00 ",100,100,53,125,140
"18","28JAN25 07:37:01 ",100,100,53,125,140
"19","28JAN25 07:37:02 ",100,100,53,125,140
"20","28JAN25 07:37:03 ",100,100,53,125,140
"21","28JAN25 07:37:04 ",100,100,53,125,140
"22","28JAN25 07:37:05 ",100,100,53,125,140
"23","28JAN25 07:37:06 ",100,100,53,125,140
"24","28JAN25 07:37:07 ",100,100,53,125,140
"25","28JAN25 07:37:08 ",100,100,53,125,140
"26","28JAN25 07:37:09 ",100,100,53,125,140
"27","28JAN25 07:37:10 ",100,100,53,125,140
"28","28JAN25 07:37:11 ",100,100,53,125,140
"29","28JAN25 07:37:12 ",100,100,53,125,140
"30","28JAN25 07:37:13 ",100,100,53,125,140
"31","28JAN25 07:37:14 ",100,100,53,125,140
"32","28JAN25 07:37:15 ",100,100,53,125,140
"33","28JAN25 07:37:16 ",100,100,53,125,140
"34","28JAN25 07:37:17 ",100,100,53,125,140
"35","28JAN25 07:37:18 ",100,100,53,125,140
"36","28JAN25 07:37:19 ",100,100,53,125,140
"37","28JAN25 07:37:20 ",100,100,53,125,140
"38","28JAN25 07:37:21 ",100,100,53,125,140
"39","28JAN25 07:37:22 ",100,100,53,125,140
"40","28JAN25 07:37:23 ",100,100,53,125,140
"41","28JAN25 07:37:24 ",100,100,53,125,140
"42","28JAN25 07:37:25 ",100,100,53,125,140
"43","28JAN25 07:37:26 ",100,100,53,125,140
"44","28JAN25 07:37:27 ",100,100,53,125,140
"45","28JAN25 07:37:28 ",100,100,53,125,140
"46","28JAN25 07:37:29 ",100,100,53,125,140
"47","28JAN25 07:37:30 ",100,100,53,125,140
"48","28JAN25 07:37:31 ",100,100,53,125,140
"49","28JAN25 07:37:32 ",100,100,53,125,140
"50","28JAN25 07:37:33 ",100,100,53,125,140
"51","28JAN25 07:37:34 ",100,100,53,125,140
"52","28JAN25 07:37:35 ",100,100,53,125,140
"53","28JAN25 07:37:36 ",100,100,53,125,140
"54","28JAN25 07:37:37 ",100,100,53,125,140
"55","28JAN25 07:37:38 ",100,100,53,125,140
"56","28JAN25 07:37:39 ",100,100,53,125,140
"57","28JAN25 07:37:40 ",100,100,53,125,140
"58","28JAN25 07:37:41 ",100,100,53,125,140
"59","28JAN25 07:37:42 ",99,95,53,125,140
"60","28JAN25 07:37:43 ",66,33,54,125,140
"61","28JAN25 07:37:44 ",32,33,56,125,140
"62","28JAN25 07:37:45 ",32,33,56,125,140
"63","28JAN25 07:37:46 ",30,21,59,125,140
"64","28JAN25 07:37:47 ",24,20,69,125,140
"65","28JAN25 07:37:48 ",20,20,74,120,135
"66","28JAN25 07:37:49 ",19,20,74,120,135
"67","28JAN25 07:37:50 ",19,19,74,120,135
"68","28JAN25 07:37:51 ",18,18,76,120,135
"69","28JAN25 07:37:52 ",18,18,77,120,135
"70","28JAN25 07:37:53 ",18,18,77,120,135
"71","28JAN25 07:37:54 ",17,17,78,120,135
"72","28JAN25 07:37:55 ",17,17,78,120,135
"73","28JAN25 07:37:56 ",17,17,78,120,135
"74","28JAN25 07:37:57 ",17,17,77,120,135
"75","28JAN25 07:37:58 ",17,17,76,120,135
"76","28JAN25 07:37:59 ",17,17,76,120,135
"77","28JAN25 07:38:00 ",17,17,76,120,135
"78","28JAN25 07:38:01 ",16,17,75,120,135
"79","28JAN25 07:38:02 ",16,17,73,120,135
"80","28JAN25 07:38:03 ",16,17,73,120,135
