DATE,TIME,TRACK NUM,EZ,EX,SPEED (mph),
16JAN25,16:49:07.9,Track 2,8,91,,
20JAN25,15:53:41.8,Track 2,93,90,73,
20JAN25,15:53:43.4,Track 2,90,90,69,
20JAN25,15:53:45.0,Track 2,86,90,96,
20JAN25,15:53:46.2,Track 2,82,90,75,
20JAN25,15:53:47.8,Track 2,79,90,75,
20JAN25,15:53:49.4,Track 2,76,91,70,
20JAN25,15:53:51.4,Track 2,80,90,,
20JAN25,15:53:54.2,Track 2,77,90,,
20JAN25,15:53:55.7,Track 2,74,91,55,
20JAN25,15:53:56.9,Track 2,70,91,75,
20JAN25,15:53:57.7,Track 2,67,91,86,
20JAN25,15:53:59.2,Track 2,64,91,79,
20JAN25,15:54:01.7,Track 2,61,91,44,
20JAN25,15:54:03.3,Track 2,58,91,52,
20JAN25,15:54:05.2,Track 2,55,91,56,
20JAN25,15:54:06.8,Track 2,52,91,51,
20JAN25,15:54:11.5,Track 2,49,91,17,
20JAN25,15:54:13.5,Track 2,45,91,39,
20JAN25,15:54:13.9,Track 2,42,91,77,
20JAN25,15:54:14.7,Track 2,39,91,91,
20JAN25,15:54:15.5,Track 2,36,91,105,
20JAN25,15:54:18.6,Track 2,33,91,47,
20JAN25,15:54:20.9,Track 2,30,91,35,
20JAN25,15:54:23.8,Track 2,27,91,35,
20JAN25,15:54:30.5,Track 2,24,91,27,
20JAN25,15:54:33.7,Track 2,21,91,26,
20JAN25,15:54:37.6,Track 2,18,91,26,
20JAN25,15:54:41.2,Track 2,15,91,27,
20JAN25,15:54:47.5,Track 2,12,91,21,
20JAN25,15:55:01.4,Track 2,26,91,,
20JAN25,15:55:01.7,Track 2,47,91,56,
20JAN25,15:55:02.5,Track 2,68,91,,
20JAN25,15:55:03.0,Track 2,90,91,,
20JAN25,15:55:03.4,Track 2,96,91,,
20JAN25,17:45:05.6,Track 2,93,90,66,
20JAN25,17:45:07.2,Track 2,90,90,61,
20JAN25,17:45:08.3,Track 2,86,90,95,
20JAN25,17:45:09.5,Track 2,83,90,73,
20JAN25,17:45:10.7,Track 2,80,90,75,
20JAN25,17:45:12.3,Track 2,77,91,74,
20JAN25,17:45:17.4,Track 2,74,90,7,
20JAN25,17:45:18.6,Track 2,71,91,43,
20JAN25,17:45:20.9,Track 2,68,91,58,
20JAN25,17:45:22.9,Track 2,65,91,51,
20JAN25,17:45:24.5,Track 2,62,90,46,
20JAN25,17:45:26.1,Track 2,59,90,48,
20JAN25,17:45:28.1,Track 2,56,90,51,
20JAN25,17:45:30.1,Track 2,53,91,51,
20JAN25,17:45:34.4,Track 2,50,92,14,
20JAN25,17:45:36.4,Track 2,47,93,38,
20JAN25,17:45:37.6,Track 2,43,90,70,
20JAN25,17:45:38.0,Track 2,40,87,87,
20JAN25,17:45:39.2,Track 2,36,83,108,
20JAN25,17:45:41.9,Track 2,33,82,55,
20JAN25,17:45:44.3,Track 2,30,80,33,
20JAN25,17:45:47.4,Track 2,27,80,35,
20JAN25,17:45:54.2,Track 2,24,78,26,
20JAN25,17:45:57.7,Track 2,21,76,26,
20JAN25,17:46:00.9,Track 2,19,73,23,
20JAN25,17:46:02.2,Track 2,18,70,26,
20JAN25,17:46:05.3,Track 2,15,69,26,
20JAN25,17:46:11.6,Track 2,12,69,20,
20JAN25,17:46:36.9,Track 2,16,72,,
20JAN25,17:46:37.3,Track 2,36,77,56,
20JAN25,17:46:37.7,Track 2,60,83,,
20JAN25,17:46:38.5,Track 2,81,88,,
20JAN25,17:46:38.9,Track 2,97,90,,
20JAN25,17:46:39.7,Track 2,94,90,,
20JAN25,17:46:40.8,Track 2,91,90,,
20JAN25,17:46:42.0,Track 2,88,90,61,
20JAN25,17:46:43.2,Track 2,85,90,81,
20JAN25,17:46:44.9,Track 2,82,90,44,
20JAN25,17:46:45.9,Track 2,79,90,66,
20JAN25,17:46:47.6,Track 2,76,90,64,
20JAN25,17:46:52.7,Track 2,73,90,24,
20JAN25,17:46:54.7,Track 2,70,90,58,
20JAN25,17:46:55.9,Track 2,67,90,57,
20JAN25,17:46:57.9,Track 2,64,90,51,
20JAN25,17:46:59.8,Track 2,61,90,45,
20JAN25,17:47:01.4,Track 2,58,90,53,
20JAN25,17:47:03.4,Track 2,55,90,53,
20JAN25,17:47:05.4,Track 2,52,90,46,
20JAN25,17:47:10.1,Track 2,49,90,25,
20JAN25,17:47:11.7,Track 2,45,90,39,
20JAN25,17:47:12.1,Track 2,42,90,78,
20JAN25,17:47:12.8,Track 2,39,90,93,
20JAN25,17:47:13.7,Track 2,36,90,106,
20JAN25,17:47:17.3,Track 2,33,90,28,
20JAN25,17:47:19.3,Track 2,30,90,36,
20JAN25,17:47:22.4,Track 2,27,90,35,
20JAN25,17:47:29.1,Track 2,24,90,30,
20JAN25,17:47:32.6,Track 2,21,90,26,
20JAN25,17:47:35.9,Track 2,18,90,25,
20JAN25,17:47:39.4,Track 2,15,90,27,
20JAN25,17:47:45.7,Track 2,12,90,20,
20JAN25,17:47:58.4,Track 2,33,90,5,
20JAN25,17:47:58.8,Track 2,54,90,61,
20JAN25,17:47:59.2,Track 2,75,90,,
20JAN25,17:47:59.6,Track 2,96,90,,
