DATE, TIME, TRACK NUM, EZ, EX, SPEED (mph), 
16APR24, 16:47:29.9, Track 3, 101, 98, 82, 
16APR24, 16:47:43.9, Track 1, 98, 98, 48, 
16APR24, 16:47:52.2, Track 1, 101, 97, 19, 
16APR24, 16:48:34.2, Track 3, 98, 99, 8, 
16APR24, 16:48:34.9, Track 1, 98, 98, 73, 
16APR24, 16:48:44.9, Track 1, 101, 97, 26, 
16APR24, 16:48:45.3, Track 3, 101, 99, 18, 
16APR24, 16:49:48.3, Track 1, 98, 98, 26, 
16APR24, 16:50:02.7, Track 1, 101, 97, 28, 
16APR24, 16:50:13.8, Track 1, 98, 98, 24, 
16APR24, 16:50:26.6, Track 1, 101, 97, 35, 
16APR24, 16:50:40.2, Track 3, 98, 99, 29, 
16APR24, 16:50:41.0, Track 1, 98, 98, 46, 
16APR24, 16:50:51.0, Track 1, 101, 97, 4, 
16APR24, 16:50:51.8, Track 3, 101, 99, 13, 
16APR24, 16:51:55.2, Track 1, 98, 98, 37, 
16APR24, 16:51:57.6, Track 3, 98, 99, 38, 
16APR24, 16:52:06.7, Track 3, 101, 98, 40, 
16APR24, 16:52:07.9, Track 1, 101, 97, 28, 
16APR24, 16:52:20.4, Track 1, 98, 98, 44, 
16APR24, 16:52:21.2, Track 3, 98, 99, 50, 
16APR24, 16:52:32.7, Track 1, 101, 97, 27, 
16APR24, 16:52:59.8, Track 3, 101, 98, 6, 
16APR24, 16:53:16.9, Track 1, 98, 97, 49, 
16APR24, 16:53:22.2, Track 1, 101, 97, 14, 
16APR24, 16:54:02.0, Track 1, 98, 98, 29, 
16APR24, 16:54:04.0, Track 3, 98, 99, 30, 
16APR24, 16:54:12.0, Track 3, 101, 98, 61, 
16APR24, 16:54:14.0, Track 1, 101, 97, 21, 
16APR24, 16:54:28.7, Track 1, 98, 98, 44, 
16APR24, 16:54:38.7, Track 1, 101, 97, 3, 
16APR24, 16:54:52.7, Track 3, 98, 99, 48, 
16APR24, 16:55:05.4, Track 3, 101, 99, 49, 
16APR24, 16:55:17.4, Track 1, 98, 98, 42, 
16APR24, 16:55:27.3, Track 1, 101, 97, 60, 
16APR24, 16:55:42.9, Track 1, 98, 98, 2, 
16APR24, 16:55:45.7, Track 3, 98, 99, 30, 
16APR24, 16:55:55.3, Track 3, 101, 99, 17, 
16APR24, 16:56:20.7, Track 1, 101, 97, 49, 
16APR24, 16:57:24.2, Track 1, 98, 98, 20, 
16APR24, 16:57:26.6, Track 3, 98, 99, 24, 
16APR24, 16:57:33.4, Track 1, 101, 97, 21, 
16APR24, 16:57:35.8, Track 3, 101, 99, 58, 
16APR24, 16:59:07.4, Track 3, 98, 99, 37, 
16APR24, 16:59:16.7, Track 3, 101, 99, 29, 
16APR24, 16:59:31.0, Track 1, 98, 98, 26, 
16APR24, 16:59:32.7, Track 3, 98, 99, 19, 
16APR24, 16:59:39.8, Track 1, 101, 97, , 
16APR24, 16:59:41.8, Track 3, 101, 98, 24, 
16APR24, 16:59:57.3, Track 3, 98, 99, 38, 
16APR24, 17:01:50.5, Track 1, 102, 97, 19, 
16APR24, 17:02:52.3, Track 1, 99, 98, 27, 
16APR24, 17:03:08.3, Track 1, 102, 97, 39, 
16APR24, 17:03:16.3, Track 1, 99, 98, 48, 
16APR24, 17:03:32.3, Track 1, 102, 97, 1, 
16APR24, 17:03:41.8, Track 1, 99, 98, 22, 
16APR24, 17:03:56.6, Track 1, 102, 97, 12, 
16APR24, 17:04:10.9, Track 1, 98, 98, 33, 
16APR24, 17:04:20.1, Track 1, 101, 97, 53, 
16APR24, 17:04:35.3, Track 1, 98, 98, 14, 
16APR24, 17:05:09.2, Track 1, 101, 97, 46, 
16APR24, 17:05:49.8, Track 1, 98, 98, 41, 
16APR24, 17:06:02.1, Track 1, 101, 97, 14, 
16APR24, 17:06:13.8, Track 1, 98, 98, 49, 
16APR24, 17:06:26.9, Track 1, 101, 97, 52, 
16APR24, 17:07:05.2, Track 1, 98, 98, 25, 
16APR24, 17:07:10.0, Track 3, 97, 99, 40, 
16APR24, 17:07:15.5, Track 1, 101, 97, 9, 
16APR24, 17:07:16.0, Track 3, 100, 99, 69, 
16APR24, 17:07:30.7, Track 1, 98, 98, 39, 
16APR24, 17:08:32.9, Track 1, 102, 97, , 
16APR24, 17:09:37.1, Track 1, 98, 98, 25, 
